name,party,date,text,chamber,debate_title,subdebate_title,debate_type,debate_id,subdebate_id
"Brown, Sen Bob",AG,2005-11-03,"—I seek leave to take note of those letters.
Leave not granted.",SENATE,<title>DOCUMENTS</title>,<title>Tabling</title>,Documents,0,1
"Ellison, Sen Chris (Manager of Government Business in the Senate)",LP,2005-11-03,"—I seek leave to move a motion relating to the hours of meeting and routine of business for today.
Leave not granted.",SENATE,<title>BUSINESS</title>,<title>Rearrangement</title>,Business,1,1
