name,party,date,text,chamber,debate_title,subdebate_title,debate_type,debate_id,subdebate_id,type
"Brown, Sen Bob",AG,2002-10-14," asked the Minister for Forestry and Conservation, upon notice, on 26 June 2002:
(1)	Who gave permission for logging on the steppes to Interlaken Road in Tasmania to include the roadside reserve in several places.
(2)	In each case: (a) to whom did the reserve royalties go and who carried out the logging; (b) who carried out the environmental impact study and when; and (c) how was this logging deemed within the parameters of the Forest Practices Code.",SENATE,<title>QUESTIONS ON NOTICE</title>,"<title>Forestry: Interlaken Road, Tasmania</title>",Answers to Questions on Notice,4,1,question
"Macdonald, Sen Ian",LP,2002-10-14,"—The answer to the honourable senator's question is as follows: 
(1) and (2)	I have been informed by the Tasmanian Deputy Premier and Minister for Infrastructure, Energy and Resources, the Hon Paul Lennon, that the Forest Practices Board is responsible for the matters raised in your question. Minister Lennon has informed me that the Forest Practices Board is currently in the process of investigating the matters you have raised. The Forest Practices Board has indicated to Minister Lennon that the matters you have raised will take some time to investigate.
Once a response has been developed by the Forest Practices Board, Minister Lennon has undertaken to forward the information to me which I will then pass on to Senator Brown.",SENATE,<title>QUESTIONS ON NOTICE</title>,"<title>Forestry: Interlaken Road, Tasmania</title>",Answers to Questions on Notice,4,1,answer
