name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Di Natale, R",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Hanson-Young, SC",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Lambie, J",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Lazarus, GP",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Leyonhjelm, DE",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Ludlam, S",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Milne, C",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Muir, R",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Rhiannon, L",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Rice, J",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Siewert, R (teller)",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Wang, Z",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Waters, LJ",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Whish-Wilson, PS",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Wright, PL",aye,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Bullock, J.W.",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Bushby, DC (teller)",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Cameron, DN",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Canavan, M.J.",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Carr, KJ",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Cash, MC",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Colbeck, R",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Dastyari, S",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Day, R.J.",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Edwards, S",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Fawcett, DJ",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Fifield, MP",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Gallacher, AM",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Ketter, CR",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Ludwig, JW",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Lundy, KA",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Madigan, JJ",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"McEwen, A",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"McGrath, J",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"McKenzie, B",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"McLucas, J",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Moore, CM",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Nash, F",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"O'Neill, DM",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"O'Sullivan, B",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Peris, N",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Polley, H",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Reynolds, L",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Ruston, A",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Ryan, SM",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Seselja, Z",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Sinodinos, A",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Smith, D",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Sterle, G",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Urquhart, AE",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Williams, JR",no,Abbot Point,MOTIONS,2014-10-02,Senate,MOTIONS,11,2,0
"Bullock, J.W.",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Cameron, DN",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Carr, KJ",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Collins, JMA",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Conroy, SM",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Dastyari, S",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Di Natale, R",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Gallacher, AM",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Hanson-Young, SC",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Ketter, CR",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Lambie, J",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Lazarus, GP",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Leyonhjelm, DE",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
"Ludlam, S",aye,Electricity network companies,MOTIONS,2014-10-02,Senate,MOTIONS,11,3,0
