name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Allison, L. ",aye,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Bartlett, A. J. J.",aye,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Bourne, V.* ",aye,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Brown, B.",aye,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Harradine, B. ",aye,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Lees, M. H.",aye,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Margetts, D. ",aye,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Murray, A.",aye,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Stott Despoja, N. ",aye,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Woodley, J.",aye,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Bishop, M. ",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Calvert, P. H.",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Campbell, G. ",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Campbell, I. G.",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Chapman, H. G. P. ",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Conroy, S.",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Cook, P. F. S. ",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Cooney, B.",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Crossin, P. M. ",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Crowley, R. A.",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Denman, K. J. ",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Eggleston, A.",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Ellison, C. ",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Evans, C. V.",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Ferris, J. ",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Forshaw, M. G.",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Gibbs, B. ",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Gibson, B. F.",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Heffernan, W.* ",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
"Herron, J.",no,In Committee,MANAGED INVESTMENTS BILL 1997,1998-06-22,SENATE,Bills,36,1,0
