name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Di Natale, R",aye,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Hanson-Young, SC",aye,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Madigan, JJ",aye,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Milne, C",aye,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Rhiannon, L",aye,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Siewert, R (teller)",aye,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Waters, LJ",aye,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Whish-Wilson, PS",aye,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Wright, PL",aye,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Back, CJ",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Bernardi, C",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Bilyk, CL",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Birmingham, SJ",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Bishop, TM",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Brown, CL",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Cameron, DN",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Carr, KJ",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Colbeck, R",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Collins, JMA",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Dastyari, S",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Edwards, S",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Eggleston, A",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Farrell, D",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Faulkner, J",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Fawcett, DJ",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Fifield, MP",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
"Furner, ML",no,Second Reading,Landholders' Right to Refuse (Gas and Coal) Bill 2013,2014-03-06,Senate,BILLS,1,1,0
