name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Albanese, AN",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Bandt, AP",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Bird, SL",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Bowen, CE",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Brodtmann, G",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Burke, AE",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Burke, AS",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Butler, MC",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Butler, TM",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Byrne, AM",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Chalmers, JE",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Champion, ND",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Chesters, LM",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Clare, JD",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Claydon, SC",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Collins, JM",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Conroy, PM",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Danby, M",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Dreyfus, MA",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Elliot, MJ",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Ellis, KM",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Feeney, D",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Ferguson, LDT",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Fitzgibbon, JA",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Giles, AJ",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Gray, G",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Griffin, AP",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Hall, JG (teller)",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Hayes, CP",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Husic, EN",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Jones, SP",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Katter, RC",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"King, CF",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Leigh, AK",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Macklin, JL",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"MacTiernan, AJGC",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Marles, RD",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"McGowan, C",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Mitchell, RG",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
"Neumann, SK",aye,Disallowance,Migration Amendment (Repeal of Certain Visa Classes) Regulation 2014,2014-07-15,HoR,MOTIONS,14,1,0
