name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Abetz, E.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Adams, J.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Back, C.J.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Barnett, G.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Bernardi, C.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Boswell, R.L.D.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Boyce, S.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Brandis, G.H.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Bushby, D.C.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Cash, M.C.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Colbeck, R.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Coonan, H.L.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Ferguson, A.B.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Fielding, S.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Fierravanti-Wells, C.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Fifield, M.P.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Fisher, M.J.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Heffernan, W.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Humphries, G.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
"Johnston, D.",aye,Censure Motion,RUDD GOVERNMENT,2010-03-09,SENATE,Censure Motion,8,1,0
