name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Bilyk, CL",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Brown, CL",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Bullock, J.W.",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Collins, JMA",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Conroy, SM",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Dastyari, S",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Di Natale, R",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Faulkner, J",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Gallacher, AM",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Hanson-Young, SC",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Ketter, CR",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Lambie, J",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Lazarus, GP",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Leyonhjelm, DE",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Lines, S",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Ludlam, S",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Ludwig, JW",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Lundy, KA",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"McEwen, A",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"McLucas, J",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Milne, C",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Moore, CM",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Muir, R",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Polley, H",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Rhiannon, L",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Rice, J",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Siewert, R",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Sterle, G",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Urquhart, AE (teller)",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Wang, Z",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Waters, LJ",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Whish-Wilson, PS",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Wright, PL",aye,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Back, CJ",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Bernardi, C",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Birmingham, SJ",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Bushby, DC (teller)",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Canavan, M.J.",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Cash, MC",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Colbeck, R",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Day, R.J.",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Edwards, S",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Fawcett, DJ",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Fifield, MP",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Macdonald, ID",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Mason, B",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"McGrath, J",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"McKenzie, B",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Nash, F",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"O'Sullivan, B",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Payne, MA",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Reynolds, L",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Ronaldson, M",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Ruston, A",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Ryan, SM",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Scullion, NG",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Seselja, Z",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Sinodinos, A",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Smith, D",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Williams, JR",no,East West Link,MOTIONS,2014-09-25,Senate,MOTIONS,11,3,0
"Back, CJ",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Bernardi, C",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Birmingham, SJ",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Brandis, GH",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Bushby, DC",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Cash, MC",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Colbeck, R",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Day, R.J.",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Edwards, S",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Fawcett, DJ",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Fierravanti-Wells, C",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Fifield, MP",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Heffernan, W",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Lambie, J",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Lazarus, GP",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Macdonald, ID",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Mason, B",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"McGrath, J",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"McKenzie, B",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Muir, R",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Nash, F",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"O'Sullivan, B",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Parry, S",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Payne, MA",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
"Reynolds, L",aye,In Committee,National Security Legislation Amendment Bill (No. 1) 2014,2014-09-25,Senate,BILLS,19,3,0
