name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Albanese, A.N.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Andren, P.J.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Beazley, K.C.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Bevis, A.R.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Brereton, L.J.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Burke, A.E.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Byrne, A.M.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Cox, D.A.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Crean, S.F.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Crosio, J.A.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Danby, M.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Edwards, G.J.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Ellis, A.L.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Emerson, C.A.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Evans, M.J.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Ferguson, L.D.T.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Ferguson, M.J.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Fitzgibbon, J.A.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
"Gerick, J.F.",aye,Suspension of Standing and Sessional Orders,MANDATORY SENTENCING LEGISLATION,2000-04-04,REPS,Miscellaneous,3,1,0
