name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Di Natale, R",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Hanson-Young, SC",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Ludlam, S (teller)",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Milne, C",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Rhiannon, L",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Waters, LJ",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Whish-Wilson, PS",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Wright, PL",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Abetz, E",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Bilyk, CL",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Birmingham, SJ",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Bishop, TM",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Boyce, SK",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Brandis, GH",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Brown, CL",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Bushby, DC",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Cameron, DN",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Carr, KJ",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Carr, RJ",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Cash, MC",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Colbeck, R",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Cormann, M",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Crossin, P",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Edwards, S",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Eggleston, A",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Evans, C",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Farrell, D",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Faulkner, J",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Fawcett, DJ",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Feeney, D",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Fierravanti-Wells, C",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Fifield, MP",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Furner, ML",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Gallacher, AM",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Hogg, JJ",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Johnston, D",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Kroger, H (teller)",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Ludwig, JW",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Lundy, KA",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Macdonald, ID",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Madigan, JJ",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Marshall, GM",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Mason, B",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"McEwen, A",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"McKenzie, B",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"McLucas, J",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Moore, CM",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Nash, F",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Parry, S",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Polley, H",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Pratt, LC",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Ronaldson, M",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Singh, LM",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Sinodinos, A",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Smith, D",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Stephens, U",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Sterle, G",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Thistlethwaite, M",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Thorp, LE",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Urquhart, AE",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Williams, JR",no,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,0
"Bilyk, CL",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Bishop, TM",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Brown, CL",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Cameron, DN",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Carr, RJ",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Crossin, P",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Evans, C",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Farrell, D",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Faulkner, J",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Feeney, D",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Furner, ML",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Gallacher, AM",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Hogg, JJ",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Ludwig, JW",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Lundy, KA",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Madigan, JJ",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Marshall, GM",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"McEwen, A (teller)",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"McLucas, J",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Moore, CM",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Polley, H",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Pratt, LC",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Singh, LM",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Stephens, U",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
"Sterle, G",aye,Second Reading,Migration Legislation Amendment (The Bali Process) Bill 2012,2012-06-28,Senate,BILLS,3,1,1
