name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Brown, RJ",aye,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Di Natale, R",aye,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Hanson-Young, SC",aye,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Ludlam, S",aye,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Madigan, JJ",aye,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Milne, C",aye,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Rhiannon, L",aye,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Siewert, R (teller)",aye,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Waters, LJ",aye,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Wright, PL",aye,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Bernardi, C",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Bilyk, CL",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Birmingham, SJ",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Bishop, TM",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Brown, CL",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Bushby, DC (teller)",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Cash, MC",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Colbeck, R",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Collins, JMA",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Cormann, M",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Crossin, P",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Edwards, S",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Farrell, D",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Faulkner, J",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Fawcett, DJ",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Fisher, M",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Furner, ML",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Gallacher, AM",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Lundy, KA",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Marshall, GM",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"McEwen, A",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"McKenzie, B",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Moore, CM",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Nash, F",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Parry, S",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Polley, H",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Pratt, LC",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Sherry, NJ",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Singh, LM",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
"Stephens, U",no,Order for the Production of Documents,Serco Training Manuals,2012-03-19,Senate,DOCUMENTS,9,1,0
