name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Abbott, AJ",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Alexander, JG",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Andrews, KJ",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Andrews, KL",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Baldwin, RC",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Billson, BF",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Bishop, BK",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Bishop, JI",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Briggs, JE",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Broadbent, RE",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Buchholz, S",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Chester, D",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Christensen, GR",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Ciobo, SM",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Cobb, JK",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Coulton, M (teller)",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Crook, AJ",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Dutton, PC",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Entsch, WG",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Fletcher, PW",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Forrest, JA",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Frydenberg, JA",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
"Gambaro, T",aye,Asylum Seekers,MOTIONS,2011-06-14,HoR,MOTIONS,8,1,0
