name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Abbott, A.J.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Anderson, J.D.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Andren, P.J.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Andrews, K.J.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Anthony, L.J.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Bailey, F.E.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Baird, B.G.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Baldwin, R.C.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Barresi, P.A.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Bartlett, K.J.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Bevis, A.R.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Billson, B.F.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Bishop, B.K.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Bishop, J.I.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Brough, M.T.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Burke, A.E.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Byrne, A.M.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Cadman, A.G.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Causley, I.R.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Charles, R.E.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Ciobo, S.M.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Cobb, J.K.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Corcoran, A.K.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Costello, P.H.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Cox, D.A.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Danby, M. *",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Downer, A.J.G.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
"Dutton, P.C.",aye,Report from Main Committee,RESEARCH INVOLVING EMBRYOS AND PROHIBITION OF HUMAN CLONING BILL 2002,2002-08-29,REPS,Bills,19,1,0
