name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Allison, L. ",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Bartlett, A. J. J.",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Bishop, T. M. ",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Bolkus, N.",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Bourne, V. ",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Brown, B.",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Campbell, G. ",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Collins, J. M. A.",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Conroy, S. ",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Cooney, B.",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Crossin, P. M. ",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Denman, K. J.",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Evans, C. V. ",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Forshaw, M. G.",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Gibbs, B. ",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Hogg, J.",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Hutchins, S. ",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Lees, M. H.",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Lundy, K. ",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Mackay, S.",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Margetts, D. ",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"McKiernan, J. P.",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Murphy, S. M. ",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"Murray, A.",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
"O'Brien, K. W. K. *",aye,In Committee,CHILD SUPPORT LEGISLATION AMENDMENT BILL 1998,1998-11-23,SENATE,Bills,18,1,0
