name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
"Bernardi, C",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Bilyk, CL",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Boswell, RLD",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Boyce, SK",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Brown, CL",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Bushby, DC",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Carr, KJ",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Cash, MC",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Colbeck, R",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Conroy, SM",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Dastyari, s",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Edwards, S",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Farrell, D",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Fawcett, DJ",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Fierravanti-Wells, C",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Fifield, MP",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Furner, ML",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Gallacher, AM",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Hogg, JJ",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Kroger, H (teller)",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Lines, S",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Ludwig, JW",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Lundy, KA",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Macdonald, ID",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Marshall, GM",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"McEwen, A",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"McKenzie, B",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"McLucas, J",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Moore, CM",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"O'Neill, DM",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Parry, S",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Payne, MA",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Peris, N",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
"Polley, H",aye,Report,Selection of Bills Committee,2013-12-05,Senate,COMMITTEES,2,1,0
