name,vote,parent_title,grandparent_title,date,chamber,debate_type,debate_id,subdebate_id,division_id
Mr Adams,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Albanese,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Andren,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Bevis,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Brereton,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Ms Burke,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Byrne,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Cox,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Crean,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mrs Crosio,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Danby,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Edwards,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Dr Emerson,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr L. D. T. Ferguson,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr M. J. Ferguson,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Fitzgibbon,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Ms Gerick,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Gibbons,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Ms Gillard,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Griffin,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Ms Hall,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Hatton,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Ms Hoare,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Hollis,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Horne,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mrs Irwin,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
Mr Jenkins,aye,Consideration in Detail,A NEW TAX SYSTEM (INDIRECT TAX AND CONSEQUENTIAL AMENDMENTS) BILL (No. 2) 1999,1999-11-25,REPS,Bills,5,1,0
